block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
12,cube0,1.165556,2098,0.000000,0.000000,0.006200,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.750000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.589447,411461,0.003543,29.901966,31.211948,0.014172,1353,0.809981,9,0.003139,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.299438,410939,0.003543,29.901966,31.211948,0.014172,1353,0.810107,9,0.005628,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
13,cube0,1.481667,2667,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.224442,423404,0.003543,29.901966,31.212395,0.014172,1353,0.817284,9,0.003666,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.331116,423596,0.003543,29.901966,31.212395,0.014172,1353,0.818273,9,0.003598,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
14,cube0,4.350000,7830,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.434998,418383,0.003543,29.901966,31.211948,0.014172,1353,0.812342,9,0.003587,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.537781,418568,0.003543,29.901966,31.211948,0.014172,1353,0.811974,9,0.003594,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
15,cube0,1.619444,2915,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.950562,426511,0.003543,29.901966,31.211948,0.014172,1353,0.830927,9,0.003633,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.686111,426035,0.003543,29.901966,31.211948,0.014172,1353,0.831437,9,0.003717,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
16,cube0,2.067222,3721,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.538330,418569,0.003543,29.901966,31.212395,0.014172,1353,0.818724,9,0.003879,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.615555,418708,0.003543,29.901966,31.211948,0.014172,1353,0.819248,9,0.003664,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
17,cube0,5.380556,9685,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.544449,422180,0.003543,29.901966,31.211948,0.014172,1353,0.828247,9,0.003472,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.624451,422324,0.003543,29.901966,31.211948,0.014172,1353,0.839380,9,0.003445,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
18,cube0,1.838333,3309,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.692215,422446,0.003543,29.901966,31.212395,0.014172,1353,0.817113,9,0.003044,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.871109,422768,0.003543,29.901966,31.212395,0.014172,1353,0.816654,9,0.003969,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
19,cube0,1.870556,3367,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.699448,426059,0.003543,29.901966,31.211948,0.014172,1353,0.826520,9,0.003503,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.858337,426345,0.003543,29.901966,31.211948,0.014172,1353,0.827342,9,0.003532,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
