instr,addr,pipe,call_count,cycles,running_time(us),detail
MOV_XD_IMM,0x1168dd88,SCALAR,32,32,0.020000,"XD:X18=0,IMM:0,"
ADD,0x1168dce4,SCALAR,32,32,0.020000,"dtype:S64,XD:X1=0x1c7560,XN:X10=0x1c7560,XM:X1=0,"
ADD_IMM,0x1168dcf0,SCALAR,32,32,0.020000,"dtype:S64,XD:X4=0x1c77a0,XN:X1=0x1c7560,IMM:0x240,"
INSERT_XD,0x1168dcf4,SCALAR,32,32,0.020000,"XD:X4=0x1c77a4,IMM:0x1,POSITION:0x2,EXT:0,"
ADD_IMM,0x1168dcf8,SCALAR,32,32,0.020000,"dtype:S64,XD:X6=0x23f,XN:X2=0x200,IMM:0x3f,"
ZEROEXT,0x1168dcfc,SCALAR,32,32,0.020000,"dtype:U32,XD:X6=0x23f,XN:X6=0x23f,"
SHL,0x1168dd04,SCALAR,32,32,0.020000,"dtype:B64,XD:X6=0x8fc000000000000,DATA_SRC:IMM,IMM:0x32,"
INSERT_XD,0x1168dd08,SCALAR,32,32,0.020000,"XD:X1=0x1c7564,IMM:0x1,POSITION:0x2,EXT:0,"
AND,0x1168dd0c,SCALAR,32,32,0.020000,"dtype:B64,XD:X6=0x800000000000000,XN:X6=0x8fc000000000000,XM:X22=0xff00000000000000,"
OR,0x1168dd10,SCALAR,32,32,0.020000,"dtype:B64,XD:X6=0x800000800010001,XN:X6=0x800000000000000,XM:X8=0x800010001,"
MOV_XD_IMM,0x1168dd14,SCALAR,32,32,0.020000,"XD:X8=0,IMM:0,"
SUB_IMM,0x1168d014,SCALAR,32,32,0.020000,"dtype:S64,XD:X2=0x1c7890,XN:X30=0x1c7c20,IMM:0x390,"
ADD_IMM,0x1168dd24,SCALAR,32,32,0.020000,"dtype:S64,XD:X3=0x23f,XN:X3=0x200,IMM:0x3f,"
CMP_IMM,0x1168dd28,SCALAR,32,32,0.020000,"dtype:S64,XN:X13=0x20,IMM:0,cond_op:NE,"
ZEROEXT,0x1168dd30,SCALAR,32,32,0.020000,"dtype:U32,XD:X6=0x23f,XN:X3=0x23f,"
SHR,0x1168dd34,SCALAR,32,32,0.020000,"dtype:U64,XD:X6=0x8,DATA_SRC:IMM,IMM:0x6,"
MOVK,0x1168dd78,SCALAR,32,32,0.020000,"XD:X3=0x40800010001,IMM:0x408,UIMM:0x2,"
MOV_XD_IMM,0x1168ddc8,SCALAR,32,32,0.020000,"XD:X3=0xfc66,IMM:0xfc66,"
OR,0x1168dd84,SCALAR,32,32,0.020000,"dtype:B64,XD:X16=0x800040800010001,XN:X6=0x800000000000000,XM:X3=0x40800010001,"
SHL,0x1168dd80,SCALAR,32,32,0.020000,"dtype:B64,XD:X15=0x400,DATA_SRC:IMM,IMM:0x1,"
SHR,0x1168dd7c,SCALAR,32,32,0.020000,"dtype:U64,XD:X8=0x40000,DATA_SRC:IMM,IMM:0x1,"
MOV_XD_IMM,0x1168dd54,SCALAR,32,32,0.020000,"XD:X3=0,IMM:0,"
SHL,0x1168dd74,SCALAR,32,32,0.020000,"dtype:B64,XD:X6=0x800000000000000,DATA_SRC:IMM,IMM:0x38,"
ZEROEXT,0x1168cff8,SCALAR,32,32,0.020000,"dtype:U32,XD:X0=0x1,XN:X17=0x1,"
MOV_XD_XN,0x1168dd70,SCALAR,32,32,0.020000,"dtype:S64,XD:X15=0x200,XN:X2=0x200,"
MOVK,0x1168dd68,SCALAR,32,32,0.020000,"XD:X3=0x10001,IMM:0x1,UIMM:0x1,"
MOV_XD_IMM,0x1168dd60,SCALAR,32,32,0.020000,"XD:X3=0x1,IMM:0x1,"
ZEROEXT,0x1168dd64,SCALAR,32,32,0.020000,"dtype:U8,XD:X6=0x8,XN:X6=0x8,"
ADD,0x1168dd5c,SCALAR,32,32,0.020000,"dtype:S64,XD:X8=0x80000,XN:X25=0,XM:X3=0x80000,"
MOVK,0x1168dd58,SCALAR,32,32,0.020000,"XD:X3=0x80000,IMM:0x8,UIMM:0x1,"
SHR,0x1168d530,SCALAR,31,31,0.020000,"dtype:U64,XD:X4=0x8,DATA_SRC:IMM,IMM:0x4,"
