block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
12,cube0,1.611667,2901,0.000000,0.000000,0.003377,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.750000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.738889,6730,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.747778,8546,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
13,cube0,3.902778,7025,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.211667,7581,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.086111,9155,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
14,cube0,1.996111,3593,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.973333,8952,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.050556,7291,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
15,cube0,1.526111,2747,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.863333,6954,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
